2.901661061596823021e+00,2.995349062778263960e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.901576232998499094e+00,2.995263057113414451e+00,-1.696356348782235290e-02,-1.719893913269911895e-02
2.901321749573048336e+00,2.995005043044523863e+00,-3.392668896932624079e-02,-3.439733713052010172e-02
2.900897617373044746e+00,2.994575028050557197e+00,-5.088897162014075631e-02,-5.159469364894377075e-02
2.900303847247478917e+00,2.993973025539885757e+00,-6.784997402545725476e-02,-6.879046763770831074e-02
2.899540454078775031e+00,2.993199053913247809e+00,-8.480927109640157280e-02,-8.598413264994995975e-02
2.898607457041175284e+00,2.992253136890719034e+00,-1.017664391926080686e-01,-1.031751631655685592e-01
2.897504882841274831e+00,2.991135307565577328e+00,-1.187210583019422255e-01,-1.203630359863481492e-01
2.896232759662338729e+00,2.989845600871689602e+00,-1.356727091974297694e-01,-1.375472284166830428e-01
2.894791113526931081e+00,2.988384049049712221e+00,-1.526209715053583327e-01,-1.547272170268670921e-01
2.893179979499546306e+00,2.986750695653894283e+00,-1.695654309758099221e-01,-1.719024822803291719e-01
2.891399405466735573e+00,2.984945600281910139e+00,-1.865056820428128148e-01,-1.890725101612215076e-01
2.889449430111076023e+00,2.982968811015086708e+00,-2.034413129068544379e-01,-2.062367826907912371e-01
2.887330096907867460e+00,2.980820382009638614e+00,-2.203719165179069128e-01,-2.233947848906097378e-01
2.885041467754860367e+00,2.978500390762858885e+00,-2.372971038932649990e-01,-2.405460131973009841e-01
2.882583595524746745e+00,2.976008903337372669e+00,-2.542164771991402006e-01,-2.576899584553166700e-01
2.879956533456462520e+00,2.973345986295159449e+00,-2.711296395265501702e-01,-2.748261120810402969e-01
2.877160351587009224e+00,2.970511727848772932e+00,-2.880362163263453512e-01,-2.919539794892619389e-01
2.874195117371112662e+00,2.967506212882540684e+00,-3.049358296121189027e-01,-3.090730639428713178e-01
2.871060901113439812e+00,2.964329530153725134e+00,-3.218281076956793774e-01,-3.261828725810130281e-01
2.867757781212537882e+00,2.960981779156293126e+00,-3.387126934839829184e-01,-3.432829215782993715e-01
2.864285832245082375e+00,2.957463054337836184e+00,-3.555892232760200500e-01,-3.603727230073747179e-01
2.860645139756956556e+00,2.953773465036624302e+00,-3.724573572678002154e-01,-3.774518035730893284e-01
2.856835788508374385e+00,2.949913119524545824e+00,-3.893167539457006998e-01,-3.945196889334165458e-01
2.852857866817179122e+00,2.945882131167308238e+00,-4.061670824485663633e-01,-4.115759111499391332e-01
2.848711466988782526e+00,2.941680618933010027e+00,-4.230080226799471932e-01,-4.286200087903261347e-01
2.844396684217512128e+00,2.937308705871352288e+00,-4.398392625867767469e-01,-4.456515252720026354e-01
